"序号","代码","名称","涨跌幅","最新价","成交额","流通市值","总市值","换手率","封板资金","首次封板时间","最后封板时间","炸板次数","涨停统计","连板数","所属行业","交易日期","数据类型","动态市盈率","封单资金","板上成交额","连续跌停","开板次数","涨停价","涨速","振幅"
"10","000863","三湘印象","10.0","3.85","145186163","4479919070.55","4545693336.8","3.2660465240478516","35490766.0","093145","093145","0.0","1|1","1.0","房地产开","2025-04-18","涨停","","","","","","","",""
"11","600794","保税科技","10.096153259277344","4.58","404720336","5496696879.06","5496696892.8","7.5491814613342285","133484251.0","093226","093226","0.0","2|2","2.0","物流行业","2025-04-18","涨停","","","","","","","",""
"12","000965","天保基建","9.919570922851562","4.1","622390976","4550306669.5","4550306673.599999","14.063950538635254","83523601.0","093509","095157","1.0","8|4","3.0","房地产开","2025-04-18","涨停","","","","","","","",""
"13","002583","海能达","10.009354591369629","11.76","1313040320","15082976736.24","21385141155.84","8.840605735778809","203445648.0","093721","112612","1.0","1|1","1.0","通信设备","2025-04-18","涨停","","","","","","","",""
"14","002809","红墙股份","9.988518714904785","9.58","314918576","1319502765.74","2013993973.28","24.220895767211914","45881206.0","093724","093824","1.0","2|2","2.0","化学制品","2025-04-18","涨停","","","","","","","",""
"15","001395","亚联机械","10.003870010375977","56.85","709164000","1096659467.4","4959594000.0","66.0643310546875","85296034.0","093733","133312","5.0","4|4","4.0","专用设备","2025-04-18","涨停","","","","","","","",""
"16","600053","九鼎投资","9.992193222045898","14.09","239317250","6108589872.0","6108589872.0","3.9720849990844727","17242750.0","093745","094221","3.0","1|1","1.0","多元金融","2025-04-18","涨停","","","","","","","",""
"17","002177","御银股份","10.117647171020508","4.68","323093136","3131903333.52","3562375265.2799997","10.39504623413086","25653415.0","093845","094218","1.0","1|1","1.0","计算机设","2025-04-18","涨停","","","","","","","",""
"18","601068","中铝国际","9.923664093017578","5.76","368396368","14743242241.92","17198416926.72","2.5511605739593506","107231034.0","093904","094946","2.0","2|2","2.0","工程建设","2025-04-18","涨停","","","","","","","",""
"19","000720","新能泰山","9.848484992980957","2.9","36111450","3643941555.9","3643941547.2","1.0133849382400513","22206167.0","094145","094145","0.0","1|1","1.0","电网设备","2025-04-18","涨停","","","","","","","",""
"20","301566","达利凯普","20.014663696289062","16.37","344361104","3455490490.38","6548163700.0","10.2516508102417","62456722.0","094409","094409","0.0","1|1","1.0","电子元件","2025-04-18","涨停","","","","","","","",""
"21","002342","巨力索具","9.952607154846191","4.64","494612240","4429761600.0","4454400000.0","11.462408065795898","63427964.0","094809","095027","2.0","1|1","1.0","通用设备","2025-04-18","涨停","","","","","","","",""
"22","600865","百大集团","9.967845916748047","10.26","174166375","3860225642.16","3860225683.2","4.731735706329346","57891136.0","095554","095554","0.0","1|1","1.0","商业百货","2025-04-18","涨停","","","","","","","",""
"23","002165","红 宝 丽","9.963099479675293","11.92","3311105968","8673343592.32","8764416492.8","38.94495391845703","194030875.0","100409","145318","4.0","11|6","4.0","化学制品","2025-04-18","涨停","","","","","","","",""
"24","600810","神马股份","10.026738166809082","8.23","203908998","8273452441.26","8354320404.8","2.5356266498565674","38474336.0","101109","101109","0.0","1|1","1.0","化纤行业","2025-04-18","涨停","","","","","","","",""
"25","002194","武汉凡谷","10.047846794128418","11.5","523986704","5875292212.5","7857786792.0","9.20407485961914","110723713.0","101409","101624","1.0","1|1","1.0","通信设备","2025-04-18","涨停","","","","","","","",""
"26","000514","渝 开 发","10.024450302124023","4.5","467191472","3796969342.5","3796969320.0","12.704242706298828","46230030.0","101730","135630","1.0","2|2","2.0","房地产开","2025-04-18","涨停","","","","","","","",""
"27","601086","国芳集团","10.047392845153809","11.61","1103867808","7732260000.0","7732260000.0","15.194811820983887","22695228.0","102037","134716","7.0","11|10","3.0","商业百货","2025-04-18","涨停","","","","","","","",""
"28","002564","天沃科技","10.06289291381836","5.25","953703744","4506682640.25","4509248520.0","21.89211654663086","16260825.0","102224","140439","11.0","4|3","1.0","专业服务","2025-04-18","涨停","","","","","","","",""
"29","000620","新华联","9.815950393676758","1.79","262947043","8362390864.6","10510549150.72","3.2382771968841553","20734951.0","102427","103548","2.0","1|1","1.0","房地产开","2025-04-18","涨停","","","","","","","",""
"30","601010","文峰股份","10.0977201461792","3.38","771808608","6246240000.0","6246240000.0","12.63510513305664","29502738.0","102536","144054","2.0","1|1","1.0","商业百货","2025-04-18","涨停","","","","","","","",""
"31","603351","威尔药业","9.99083423614502","24.0","108055860","3250539168.0","3250539168.0","3.410681962966919","29270448.0","103103","103103","0.0","1|1","1.0","化学制药","2025-04-18","涨停","","","","","","","",""
"32","002278","神开股份","9.97150993347168","7.72","524963632","2580074342.12","2809382482.56","21.001420974731445","117553212.0","103203","103203","0.0","1|1","1.0","专用设备","2025-04-18","涨停","","","","","","","",""
"33","002427","尤夫股份","10.050251007080078","6.57","743594640","6474253327.02","6474293390.88","11.9539213180542","31838233.0","103236","103436","1.0","2|2","2.0","化纤行业","2025-04-18","涨停","","","","","","","",""
"34","603042","华脉科技","10.040816307067871","13.48","322081296","2164751043.2000003","2164751043.2000003","15.111756324768066","65488536.0","103753","130002","1.0","1|1","1.0","通信设备","2025-04-18","涨停","","","","","","","",""
"35","300322","硕贝德","20.0","13.92","945723216","6196474595.04","6483190333.44","16.0045223236084","77517696.0","104012","130421","1.0","1|1","1.0","消费电子","2025-04-18","涨停","","","","","","","",""
"36","603677","奇精机械","10.01006031036377","21.87","501757040","4212180917.55","4212180917.55","12.305075645446777","150093810.0","104708","105223","3.0","1|1","1.0","家电行业","2025-04-18","涨停","","","","","","","",""
"37","002277","友阿股份","9.980806350708008","5.73","831536048","7988610144.000001","7988610144.000001","10.743732452392578","59267109.0","111551","111551","0.0","1|1","1.0","商业百货","2025-04-18","涨停","","","","","","","",""
"38","603955","大千生态","10.010110855102539","21.76","328075952","2953267200.0","2953267200.0","11.586731910705566","87277184.0","112730","112730","0.0","4|2","1.0","工程建设","2025-04-18","涨停","","","","","","","",""
"39","002446","盛路通信","10.088496208190918","6.22","279011552","5272590101.12","5693301148.16","5.502971172332764","73724024.0","130115","130115","0.0","1|1","1.0","通信设备","2025-04-18","涨停","","","","","","","",""
"40","002796","世嘉科技","9.981343269348145","11.79","282146000","2670983034.5699997","2976113716.9199996","11.00362491607666","71217954.0","130400","130400","0.0","1|1","1.0","专用设备","2025-04-18","涨停","","","","","","","",""
"41","002792","通宇通讯","10.038022994995117","14.47","360613888","4540768160.66","7559611413.76","8.232149124145508","132080336.0","130842","130842","0.0","1|1","1.0","通信设备","2025-04-18","涨停","","","","","","","",""
"42","603002","宏昌电子","10.0","6.27","497372784","7110672251.429999","7110672270.24","7.4755401611328125","65072568.0","130914","130914","0.0","2|2","2.0","电子化学","2025-04-18","涨停","","","","","","","",""
"43","831961","创远信科","29.97724723815918","22.85","716631184","2409276762.8","3263905607.8","31.775848388671875","23900620.0","131003","140539","4.0","1|1","1.0","通信设备","2025-04-18","涨停","","","","","","","",""
"44","003027","同兴科技","9.979209899902344","15.87","100011628","1664143562.1599998","2074577184.0","6.207791328430176","52528113.0","132248","132248","0.0","1|1","1.0","环保行业","2025-04-18","涨停","","","","","","","",""
"45","002866","传艺科技","10.020732879638672","15.92","254490518","2885762775.52","4609194315.5199995","9.203226089477539","65469949.0","132248","132248","0.0","1|1","1.0","消费电子","2025-04-18","涨停","","","","","","","",""
"46","600776","东方通信","10.019841194152832","11.09","335310160","10602040709.76","13929040709.76","3.299813747406006","52420212.0","132333","132333","0.0","1|1","1.0","通信设备","2025-04-18","涨停","","","","","","","",""
"47","603271","永杰新材","10.01137638092041","38.68","320796736","1491901950.28","7609129600.0","22.257770538330078","41108098.0","132352","133037","2.0","1|1","1.0","有色金属","2025-04-18","涨停","","","","","","","",""
"48","002981","朝阳科技","9.989959716796875","21.91","161406993","2616630561.65","2963395749.65","6.383655071258545","94053276.0","133524","133524","0.0","1|1","1.0","消费电子","2025-04-18","涨停","","","","","","","",""
"49","002806","华锋股份","10.009182929992676","11.98","208722639","1891181045.54","2350893826.46","11.474637031555176","107561735.0","134139","134139","0.0","1|1","1.0","汽车零部","2025-04-18","涨停","","","","","","","",""
"50","688182","灿勤科技","20.017675399780273","27.16","403638912","10864000000.0","10864000000.0","4.002131938934326","90382803.0","134844","134844","0.0","1|1","1.0","通信设备","2025-04-18","涨停","","","","","","","",""
"51","688093","世华科技","20.018796920776367","25.54","283657584","6707603708.48","6707603708.48","4.344845771789551","30790411.0","134914","134914","0.0","1|1","1.0","电子元件","2025-04-18","涨停","","","","","","","",""
"52","002629","仁智股份","10.084033966064453","5.24","179089350","1865180268.92","2232753520.0","10.14297866821289","41075836.0","135139","135139","0.0","1|1","1.0","采掘行业","2025-04-18","涨停","","","","","","","",""
"53","000402","金 融 街","10.144927024841309","3.04","322599184","9084218902.08","9086346908.16","3.6372365951538086","28076236.0","135942","141509","2.0","1|1","1.0","房地产开","2025-04-18","涨停","","","","","","","",""
"54","600187","国中水务","9.944750785827637","3.98","588929440","6422848789.94","6422848793.92","9.557479858398438","49876166.0","142318","142318","0.0","1|1","1.0","公用事业","2025-04-18","涨停","","","","","","","",""
"55","000628","高新发展","10.0","46.53","697641328","8937682944.300001","16391588400.0","8.178936004638672","127163139.0","142400","142400","0.0","1|1","1.0","工程建设","2025-04-18","涨停","","","","","","","",""
"56","836892","广咨国际","29.988054275512695","21.76","261942886","2906033703.6800003","3369859505.92","10.121234893798828","29132636.0","142645","144600","1.0","1|1","1.0","工程咨询","2025-04-18","涨停","","","","","","","",""
"57","003003","天元股份","9.95850658416748","10.6","179068867","1230697439.2","1874061980.0","15.247210502624512","64999200.0","142745","142745","0.0","1|1","1.0","包装材料","2025-04-18","涨停","","","","","","","",""
"58","000560","我爱我家","10.153846740722656","3.58","1268654560","8073875170.52","8432693035.84","16.572656631469727","132624554.0","143718","143718","0.0","1|1","1.0","房地产服","2025-04-18","涨停","","","","","","","",""
"59","300778","新城市","19.960277557373047","12.08","192964286","2459723390.88","2465045597.28","8.584559440612793","100974738.0","143806","143806","0.0","1|1","1.0","工程咨询","2025-04-18","涨停","","","","","","","",""
"60","600510","黑牡丹","9.91735553741455","5.32","168745598","5490375431.240001","5490375425.92","3.1940970420837402","32167539.0","144734","144734","0.0","1|1","1.0","房地产开","2025-04-18","涨停","","","","","","","",""
"61","603116","红蜻蜓","10.018552780151367","5.93","215658874","3416870744.0","3416870744.0","6.896464824676514","46500569.0","144758","144758","0.0","2|2","2.0","纺织服装","2025-04-18","涨停","","","","","","","",""
"1","601007","金陵饭店","-4.018912315368652","8.12","1038243856","3166799999.9999995","3166799999.9999995","29.24009895324707","","092500","","3.0","3|2","","旅游酒店","2025-04-18","炸板","","","","","","9.31","-7.305935859680176","14.066193580627441"
"2","002162","悦心健康","5.9259257316589355","4.29","536537104","3950660232.09","3953596664.16","13.320220947265625","","093018","","2.0","0|0","","装修建材","2025-04-18","炸板","","","","","","4.46","0.0","6.6666669845581055"
"3","603519","立霸股份","3.3868093490600586","11.6","122450905","3089402932.4","3089402932.4","3.8584775924682617","","093026","","1.0","0|0","","家电行业","2025-04-18","炸板","","","","","","12.34","0.0","7.040998458862305"
"4","002383","合众思壮","5.270270347595215","7.79","362216848","5767406775.95","5767406768.16","6.169456958770752","","093030","","1.0","0|0","","计算机设","2025-04-18","炸板","","","","","","8.14","0.0","7.027027130126953"
"5","000701","厦门信达","4.9783549308776855","4.85","241323234","3238374371.6","3277664454.3999996","7.3680925369262695","","093103","","1.0","0|0","","商业百货","2025-04-18","炸板","","","","","","5.08","-0.20576131343841553","8.658008575439453"
"6","002098","浔兴股份","2.6395938396453857","10.11","804284560","3619380000.0","3619380000.0","21.434301376342773","","093121","","6.0","4|3","","纺织服装","2025-04-18","炸板","","","","","","10.84","0.09900990128517151","8.832487106323242"
"7","002693","双成药业","6.753458023071289","13.12","1417708064","5397333099.5199995","5440729441.28","26.315523147583008","","093139","","3.0","7|5","","生物制品","2025-04-18","炸板","","","","","","13.52","0.0","10.008136749267578"
"8","600250","南京商旅","0.10040160268545151","9.97","818215216","3096620973.63","3096620903.84","25.08562469482422","","093151","","1.0","2|1","","贸易行业","2025-04-18","炸板","","","","","","10.96","0.0","10.742972373962402"
"9","301509","金凯生科","17.252656936645508","28.68","404442496","1627329815.04","3454410466.92","24.771989822387695","","093218","","1.0","0|0","","生物制品","2025-04-18","炸板","","","","","","29.35","0.0","11.651676177978516"
"10","600721","百花医药","4.115853786468506","6.83","531772208","2623705808.05","2623705814.88","19.90926170349121","","093328","","1.0","0|0","","医疗服务","2025-04-18","炸板","","","","","","7.22","0.0","7.012195110321045"
"11","000632","三木集团","4.117647171020508","3.54","212243815","1647804885.24","1647939270.72","12.60090160369873","","093451","","2.0","0|0","","综合行业","2025-04-18","炸板","","","","","","3.74","0.28328612446784973","11.764705657958984"
"12","002381","双箭股份","5.337519645690918","6.71","197068205","2160794030.56","2761684085.6","8.94555377960205","","093815","","1.0","0|0","","橡胶制品","2025-04-18","炸板","","","","","","7.01","0.0","10.51805305480957"
"13","603626","科森科技","4.587155818939209","7.98","632114304","4427939926.2","4427939974.08","13.953474044799805","","094106","","1.0","0|0","","消费电子","2025-04-18","炸板","","","","","","8.39","0.0","9.04325008392334"
"14","002987","京北方","5.965109825134277","18.83","1103483792","11344330217.009998","11670399855.519999","9.643546104431152","","094257","","1.0","0|0","","软件开发","2025-04-18","炸板","","","","","","19.55","-0.053078558295965195","10.692177772521973"
"15","002178","延华智能","4.042179107666016","5.92","271314448","4213756295.36","4215945807.36","6.363690376281738","","100739","","1.0","0|0","","软件开发","2025-04-18","炸板","","","","","","6.26","-0.1686340719461441","10.544816017150879"
"16","003037","三和管桩","6.700167655944824","6.37","155831248","3771515698.86","3816105660.64","4.166943073272705","","101139","","1.0","0|0","","水泥建材","2025-04-18","炸板","","","","","","6.57","0.0","11.055276870727539"
"17","002700","新疆浩源","4.648648738861084","9.68","104033945","3240241324.3199997","4003920898.56","3.183706760406494","","102309","","1.0","0|0","","燃气","2025-04-18","炸板","","","","","","10.18","0.0","11.027027130126953"
"18","600969","郴电国际","7.5842695236206055","7.66","477391792","2834586707.44","2834586676.8","16.94849395751953","","105250","","2.0","0|0","","电力行业","2025-04-18","炸板","","","","","","7.83","-0.39011701941490173","10.67415714263916"
"19","001368","通达创智","1.9677996635437012","22.8","352897728","722656830.0","2603180880.0","47.23316955566406","","105939","","1.0","6|3","","塑料制品","2025-04-18","炸板","","","","","","24.6","-0.17513135075569153","8.944543838500977"
"20","603207","小方制药","4.555638313293457","28.0","243487842","1120000000.0","4495679076.0","21.809349060058594","","134216","","1.0","0|0","","化学制药","2025-04-18","炸板","","","","","","29.46","0.0","11.687826156616211"
"21","600622","光大嘉宝","7.432432651519775","3.18","471594320","4768999578.360001","4768999597.440001","10.182008743286133","","142703","","1.0","0|0","","房地产开","2025-04-18","炸板","","","","","","3.26","0.0","11.486486434936523"
"1","001228","永泰运","-9.983831405639648","22.27","195190152","1221834842.43","2313064842.43","15.708959579467773","","","142321","","","","物流行业","2025-04-18","跌停","19.171785354614258","10970202.0","20182499.0","1.0","1.0","","",""
"2","001234","泰慕士","-9.996442794799805","25.3","615753872","2698667510.0","2768672610.0","21.637874603271484","","","144454","","","","纺织服装","2025-04-18","跌停","31.935619354248047","21234871.0","110624249.0","1.0","3.0","","",""
"3","600540","新赛股份","-10.018903732299805","4.76","512580064","2767354329.6","2767354329.6","18.076313018798828","","","142959","","","","农牧饲渔","2025-04-18","跌停","-35.08598327636719","22488139.0","41268533.0","2.0","0.0","","",""
"4","601008","连云港","-9.918699264526367","5.54","1356234720","6873134553.24","6873134520.0","19.388195037841797","","","144716","","","","航运港口","2025-04-18","跌停","36.053916931152344","26111742.0","314970558.0","1.0","8.0","","",""
"5","002820","桂发祥","-9.977827072143555","12.18","718211072","2440087340.04","2446575833.1","28.23276138305664","","","142721","","","","食品饮料","2025-04-18","跌停","90.36942291259766","28342165.0","38080770.0","1.0","0.0","","",""
"6","002719","麦趣尔","-10.0","8.91","407022480","1442282148.45","1551582561.8700001","27.487672805786133","","","135800","","","","食品饮料","2025-04-18","跌停","-13.380392074584961","30686022.0","94689760.0","1.0","12.0","","",""
"7","603128","华贸物流","-10.050251007080078","7.16","1942491984","9372772897.04","9372772911.36","20.036170959472656","","","145230","","","","物流行业","2025-04-18","跌停","19.940988540649414","31519036.0","209966052.0","1.0","3.0","","",""
"8","600249","两面针","-10.027854919433594","6.46","748569744","3553000000.0","3553000000.0","20.616321563720703","","","142307","","","","美容护理","2025-04-18","跌停","43.81074905395508","46466353.0","3429173004.0","1.0","2.0","","",""
"9","002570","贝因美","-10.013717651367188","6.56","1525028800","7084769384.48","7085084231.679999","21.348073959350586","","","100845","","","","食品饮料","2025-04-18","跌停","74.01517486572266","338586298.0","1005087113.0","1.0","4.0","","",""
"10","000785","居然智家","-10.0","3.69","92878407","21763413898.739998","22977809717.76","0.42676395177841187","","","092500","","","","商业百货","2025-04-18","跌停","26.01783561706543","458351870.0","880104852.0","1.0","0.0","","",""
"1","002098","浔兴股份","10.055866241455078","9.85","156056200","3526300000.0","3526300000.0","4.425494194030762","93354665.0","092500","092500","0.0","3|3","3.0","纺织服装","2025-04-17","涨停","","","","","","","",""
"2","003020","立方制药","9.995654106140137","25.31","35267030","3493714268.0299997","4840803255.0","1.0094423294067383","241254844.0","092500","092500","0.0","3|3","3.0","化学制药","2025-04-17","涨停","","","","","","","",""
"3","002040","南 京 港","9.959623336791992","8.17","551837312","3970130984.65","4002550582.24","14.133810997009277","80603635.0","092500","102348","1.0","2|2","2.0","航运港口","2025-04-17","涨停","","","","","","","",""
"4","002836","新宏泽","9.987516403198242","8.81","61569407","2029824000.0","2029824000.0","3.033238649368286","275894118.0","092500","092500","0.0","1|1","1.0","造纸印刷","2025-04-17","涨停","","","","","","","",""
"5","605138","盛泰集团","9.952607154846191","6.96","27307644","3866714415.36","3866714415.36","0.7062234282493591","37794192.0","092501","092501","0.0","6|3","2.0","纺织服装","2025-04-17","涨停","","","","","","","",""
"6","601798","蓝科高新","9.966216087341309","6.51","23368973","2307978568.98","2307978529.92","1.0125298500061035","131756514.0","092502","092502","0.0","1|1","1.0","专用设备","2025-04-17","涨停","","","","","","","",""
"7","000025","特  力Ａ","9.99428939819336","19.26","1145636208","7564910443.200001","8302183243.200001","15.336174011230469","99059746.0","093003","141036","2.0","2|2","2.0","珠宝首饰","2025-04-17","涨停","","","","","","","",""
"8","603696","安记食品","10.038986206054688","11.29","184599143","2655408000.0","2655408000.0","6.976396083831787","115558332.0","093010","093010","0.0","3|3","3.0","食品饮料","2025-04-17","涨停","","","","","","","",""
"9","605188","国光连锁","10.0","12.54","114854275","6214573200.0","6214573200.0","1.8667502403259277","84162949.0","093028","093028","0.0","4|4","4.0","商业百货","2025-04-17","涨停","","","","","","","",""
"10","002631","德尔未来","10.043667793273926","5.04","177365662","3999604654.08","4018305715.2","4.464024543762207","9041256.0","093030","093030","0.0","1|1","1.0","装修建材","2025-04-17","涨停","","","","","","","",""
"11","002165","红 宝 丽","10.050762176513672","10.84","1657814704","7887503736.64","7970325065.599999","21.26884651184082","221756199.0","093054","095512","2.0","10|5","3.0","化学制品","2025-04-17","涨停","","","","","","","",""
"12","000514","渝 开 发","9.946236610412598","4.09","65618153","3451023246.85","3451023226.4","1.9340765476226807","49864560.0","093151","093151","0.0","1|1","1.0","房地产开","2025-04-17","涨停","","","","","","","",""
"13","002584","西陇科学","9.975668907165527","9.04","548061152","3909721089.8399997","5290356400.639999","14.150300025939941","94135328.0","093212","093500","1.0","1|1","1.0","电子化学","2025-04-17","涨停","","","","","","","",""
"14","000859","国风新材","9.966216087341309","6.51","304567424","5832009676.71","5832805530.72","5.305027008056641","77461969.0","093230","093230","0.0","1|1","1.0","塑料制品","2025-04-17","涨停","","","","","","","",""
"15","301190","善水科技","19.98936653137207","22.57","177209160","1603528533.0","4844345805.0","11.341702461242676","73406036.0","093336","093336","0.0","1|1","1.0","化学制品","2025-04-17","涨停","","","","","","","",""
"16","603188","亚邦股份","10.073710441589355","4.48","110580252","2554361600.0000005","2554361600.0000005","4.45409631729126","33021542.0","093448","093448","0.0","5|3","1.0","化学制品","2025-04-17","涨停","","","","","","","",""
"17","603933","睿能科技","9.972298622131348","15.88","76974302","3295807851.0","3295807851.0","2.379295587539673","54971811.0","093522","093522","0.0","1|1","1.0","半导体","2025-04-17","涨停","","","","","","","",""
"18","000820","神雾节能","9.913793563842773","2.55","49091169","749781342.4499999","1641231530.3999999","6.617715358734131","11580825.0","093539","094739","6.0","1|1","1.0","环保行业","2025-04-17","涨停","","","","","","","",""
"19","001234","泰慕士","10.019569396972656","28.11","613030128","2998400937.0","3076181307.0","20.6989688873291","50459249.0","093551","134921","15.0","6|6","6.0","纺织服装","2025-04-17","涨停","","","","","","","",""
"20","002809","红墙股份","9.974746704101562","8.71","81101215","1199673182.63","1831094729.3600001","6.867875576019287","35253028.0","093621","093621","0.0","1|1","1.0","化学制品","2025-04-17","涨停","","","","","","","",""
"21","002820","桂发祥","10.0","13.53","885217280","2710540370.3399997","2717748031.35","33.4614372253418","30936060.0","093654","104600","4.0","2|2","2.0","食品饮料","2025-04-17","涨停","","","","","","","",""
"22","603819","神力股份","10.019646644592285","16.8","161807002","3657867141.6000004","3657867141.6000004","4.484264850616455","32072913.0","093709","093709","0.0","1|1","1.0","电机","2025-04-17","涨停","","","","","","","",""
"23","600800","渤海化学","10.033445358276367","3.29","267845316","3651012410.64","3652048760.64","7.476223468780518","24125352.0","093738","100541","6.0","2|2","2.0","化学制品","2025-04-17","涨停","","","","","","","",""
"24","000965","天保基建","10.029498100280762","3.73","497096400","4139669238.35","4139669242.08","12.378491401672363","42473099.0","093751","094227","2.0","2|2","2.0","房地产开","2025-04-17","涨停","","","","","","","",""
"25","002693","双成药业","10.02685832977295","12.29","416303904","5055885959.839999","5096536953.759999","8.384586334228516","106897191.0","093800","093800","0.0","6|5","4.0","生物制品","2025-04-17","涨停","","","","","","","",""
"26","300721","怡达股份","20.0","18.72","521223936","2559744607.68","3085930954.08","21.501617431640625","104738437.0","093942","093942","0.0","1|1","1.0","化学制品","2025-04-17","涨停","","","","","","","",""
"27","603315","福鞍股份","10.008554458618164","12.86","152072967","4034519755.04","4120681857.9199996","3.8464083671569824","51294772.0","093947","093947","0.0","1|1","1.0","通用设备","2025-04-17","涨停","","","","","","","",""
"28","002201","九鼎新材","10.081300735473633","6.77","308723120","4402205620.259999","4411577344.8","7.137911319732666","48233393.0","093951","095221","1.0","1|1","1.0","玻璃玻纤","2025-04-17","涨停","","","","","","","",""
"29","603938","三孚股份","10.016286849975586","13.51","101345305","5169256954.47","5169256940.96","2.0211925506591797","60195156.0","094003","094003","0.0","1|1","1.0","化学制品","2025-04-17","涨停","","","","","","","",""
"30","603928","兴业股份","9.978768348693848","10.36","65040618","2715148800.0","2715148800.0","2.4688873291015625","49313703.0","094006","094006","0.0","1|1","1.0","塑料制品","2025-04-17","涨停","","","","","","","",""
"31","001300","三柏硕","9.982332229614258","12.45","67535832","824427633.15","3035010129.2999997","8.334003448486328","44455202.0","094200","094200","0.0","4|2","1.0","家用轻工","2025-04-17","涨停","","","","","","","",""
"32","601007","金陵饭店","10.0130033493042","8.46","568546288","3299400000.0000005","3299400000.0000005","17.693370819091797","86872812.0","094232","094653","2.0","2|2","2.0","旅游酒店","2025-04-17","涨停","","","","","","","",""
"33","600857","宁波中百","10.0","10.23","156774655","2294792771.37","2294792771.37","7.011854648590088","27745806.0","094330","094330","0.0","1|1","1.0","商业百货","2025-04-17","涨停","","","","","","","",""
"34","603900","莱绅通灵","10.048623085021973","6.79","130016808","2311817373.6","2329131873.6","5.788327217102051","35794435.0","094443","094443","0.0","1|1","1.0","珠宝首饰","2025-04-17","涨停","","","","","","","",""
"35","002715","登云股份","9.97990608215332","16.42","99065426","2265960000.0","2265960000.0","4.461557865142822","79894794.0","094751","094751","0.0","1|1","1.0","汽车零部","2025-04-17","涨停","","","","","","","",""
"36","002453","华软科技","10.079051971435547","5.57","108777004","3402591991.75","4524884858.400001","3.2822911739349365","73816959.0","094827","094827","0.0","1|1","1.0","化学制品","2025-04-17","涨停","","","","","","","",""
"37","002261","拓维信息","10.0","28.38","3894439408","32354205134.46","35647328354.88","12.414572715759277","424791840.0","095012","095106","1.0","1|1","1.0","软件开发","2025-04-17","涨停","","","","","","","",""
"38","603536","惠发食品","10.0","10.45","212567155","2513562117.0","2556512035.0","8.787657737731934","63960980.0","095104","095104","0.0","1|1","1.0","食品饮料","2025-04-17","涨停","","","","","","","",""
"39","002843","泰嘉股份","9.995076179504395","22.34","395905392","5602705835.08","5676852295.08","7.267444610595703","39563916.0","095121","095121","0.0","4|2","1.0","消费电子","2025-04-17","涨停","","","","","","","",""
"40","000668","荣丰控股","10.037175178527832","5.92","101046509","869303988.8","869303988.8","12.044853210449219","2871910.0","095339","140742","8.0","4|3","2.0","房地产开","2025-04-17","涨停","","","","","","","",""
"41","600594","益佰制药","10.0","3.63","90662598","2874696462.0","2874696491.04","3.241715431213379","55403121.0","095422","095422","0.0","1|1","1.0","中药","2025-04-17","涨停","","","","","","","",""
"42","603116","红蜻蜓","10.0","5.39","65790790","3105722312.0","3105722312.0","2.1858606338500977","25025231.0","095430","095430","0.0","1|1","1.0","纺织服装","2025-04-17","涨停","","","","","","","",""
"43","603359","东珠生态","10.059171676635742","5.58","145915935","2489215680.0","2489215680.0","6.042182922363281","51596943.0","095433","095433","0.0","3|2","1.0","环保行业","2025-04-17","涨停","","","","","","","",""
"44","603039","泛微网络","9.998394966125488","68.54","220673843","17861734623.420002","17861734623.420002","1.268201470375061","57025759.0","095546","095546","0.0","1|1","1.0","软件开发","2025-04-17","涨停","","","","","","","",""
"45","000920","沃顿科技","9.969481468200684","10.81","280237968","4561576775.0","5109034307.2","6.323694705963135","36035135.0","095639","095927","1.0","1|1","1.0","环保行业","2025-04-17","涨停","","","","","","","",""
"46","603002","宏昌电子","10.038609504699707","5.7","237718429","6282332611.2","6464247518.400001","3.882641315460205","26709630.0","100730","100730","0.0","1|1","1.0","电子化学","2025-04-17","涨停","","","","","","","",""
"47","605287","德才股份","10.025707244873047","12.84","117025163","1797600000.0","1797600000.0","6.6510491371154785","19250498.0","101252","111407","6.0","1|1","1.0","装修装饰","2025-04-17","涨停","","","","","","","",""
"48","002562","兄弟科技","9.950248718261719","4.42","377984976","3100757220.86","4701556404.48","12.570491790771484","36104995.0","101421","101421","0.0","3|2","1.0","化学制品","2025-04-17","涨停","","","","","","","",""
"49","002255","海陆重工","10.024752616882324","8.89","1006134144","5671573240.27","7386532587.84","18.28692054748535","110784477.0","101615","101615","0.0","4|2","1.0","电源设备","2025-04-17","涨停","","","","","","","",""
"50","002410","广联达","10.02087688446045","15.81","1051554704","25107561858.99","26117239952.16","4.303057670593262","96878937.0","101730","101730","0.0","1|1","1.0","软件开发","2025-04-17","涨停","","","","","","","",""
"51","001395","亚联机械","10.004257202148438","51.68","460746736","996928078.72","4508563200.0","48.2782096862793","79167351.0","101936","101936","0.0","3|3","3.0","专用设备","2025-04-17","涨停","","","","","","","",""
"52","300616","尚品宅配","20.0","13.92","292582656","2171050088.64","3125262441.6","14.153085708618164","36855844.0","102339","102339","0.0","1|1","1.0","装修建材","2025-04-17","涨停","","","","","","","",""
"53","601086","国芳集团","10.010427474975586","10.55","1113718816","7026300000.0","7026300000.0","16.507078170776367","36227645.0","102812","134006","3.0","10|9","2.0","商业百货","2025-04-17","涨停","","","","","","","",""
"54","600391","航发科技","10.008445739746094","26.05","1373746640","8599870010.35","8599869828.0","16.41560173034668","30789406.0","103014","144759","7.0","1|1","1.0","航天航空","2025-04-17","涨停","","","","","","","",""
